"filename", "language", "PostCSS", "JavaScript", "JSON", "Markdown", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\AccountPage\Account.css", "PostCSS", 120, 0, 0, 0, 0, 0, 0, 5, 28, 153
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\AccountPage\Account.js", "JavaScript", 0, 142, 0, 0, 0, 0, 0, 2, 20, 164
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\BikeManagement\BikeManagement.css", "PostCSS", 157, 0, 0, 0, 0, 0, 0, 1, 22, 180
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\BikeManagement\BikeManagement.js", "JavaScript", 0, 444, 0, 0, 0, 0, 0, 2, 51, 497
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\BookingPage\BookingPage.css", "PostCSS", 81, 0, 0, 0, 0, 0, 0, 1, 16, 98
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\BookingPage\BookingPage.js", "JavaScript", 0, 149, 0, 0, 0, 0, 0, 1, 17, 167
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\Dashboard\Dashboard.css", "PostCSS", 69, 0, 0, 0, 0, 0, 0, 0, 13, 82
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\Dashboard\Dashboard.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 7, 29, 193
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\Favorite\Favorite.css", "PostCSS", 106, 0, 0, 0, 0, 0, 0, 1, 18, 125
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Account\Favorite\Favorite.js", "JavaScript", 0, 72, 0, 0, 0, 0, 0, 0, 4, 76
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Find\Search.css", "PostCSS", 91, 0, 0, 0, 0, 0, 0, 1, 16, 108
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Find\Search.js", "JavaScript", 0, 232, 0, 0, 0, 0, 0, 0, 26, 258
"c:\Users\khanh\IT4997\rental-motorbike-web\frontend\src\pages\User\Home\Home.css", "PostCSS", 411, 0, 0, 0, 0, 0, 0, 18, 77, 506
